,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,prechgPct,chgPct
50,600066.XSHG,600066,郑州客车,XSHG,1997/7/21,25.19,25.19,25.38,25.5,24.41,24.55,1046790,26139100,,0.0299,0.022458922,859250000,1792150000,-0.0254,,,5.2868,1,,0.0496,
51,600066.XSHG,600066,郑州客车,XSHG,1997/7/22,24.55,24.55,24.3,24.67,23.7,24.58,749973,18037170,,0.0214,0.022458922,860300000,1794340000,0.0012,,,5.2932,1,,-0.0254,
52,600066.XSHG,600066,郑州客车,XSHG,1997/7/23,24.58,24.58,24.28,24.49,22.81,23,1052296,24358498,,0.0301,0.022458922,805000000,1679000000,-0.0643,,,4.953,1,,0.0012,
53,600066.XSHG,600066,郑州客车,XSHG,1997/7/24,23,23,23,23,22.31,22.35,675237,15210957,,0.0193,0.022458922,782250000,1631550000,-0.0283,,,4.813,1,,-0.0643,
54,600066.XSHG,600066,郑州客车,XSHG,1997/7/25,22.35,22.35,22.1,22.59,21.91,22.21,420205,9343216,,0.012,0.022458922,777350000,1621330000,-0.0063,,,4.7829,1,,-0.0283,
55,600066.XSHG,600066,郑州客车,XSHG,1997/7/28,22.21,22.21,22,22,20.98,21.05,511900,10900911,,0.0146,0.022458922,736750000,1536650000,-0.0522,,,4.5331,1,,-0.0063,
56,600066.XSHG,600066,郑州客车,XSHG,1997/7/29,21.05,21.05,20.8,21.51,20.66,21.25,470383,9944133,,0.0134,0.022458922,743750000,1551250000,0.0095,,,4.5761,1,,-0.0522,
57,600066.XSHG,600066,郑州客车,XSHG,1997/7/30,21.25,21.25,21.25,21.78,21.12,21.62,324480,6962121,,0.0093,0.022458922,756700000,1578260000,0.0174,,,4.6558,1,,0.0095,
58,600066.XSHG,600066,郑州客车,XSHG,1997/7/31,21.62,21.62,21.8,22.4,21.7,21.86,264114,5820450,,0.0075,0.022458922,765100000,1595780000,0.0111,,,4.7075,1,,0.0174,
59,600066.XSHG,600066,郑州客车,XSHG,1997/8/1,21.86,21.86,21.86,22.2,21.5,21.7,217488,4719451,,0.0062,0.022458922,759500000,1584100000,-0.0073,,,4.673,1,,0.0111,
60,600066.XSHG,600066,郑州客车,XSHG,1997/8/4,21.7,21.7,21.75,22,21.3,21.45,228982,4940378,,0.0065,0.022458922,750750000,1565850000,-0.0115,,,4.6192,1,,-0.0073,
61,600066.XSHG,600066,郑州客车,XSHG,1997/8/5,21.45,21.45,21.35,21.97,21.25,21.7,144323,3135839,,0.0041,0.022458922,759500000,1584100000,0.0117,,,4.673,1,,-0.0115,
62,600066.XSHG,600066,郑州客车,XSHG,1997/8/6,21.7,21.7,21.7,22,21.3,21.39,155100,3350540,,0.0044,0.022458922,748650000,1561470000,-0.0143,,,4.6063,1,,0.0117,
63,600066.XSHG,600066,郑州客车,XSHG,1997/8/7,21.39,21.39,21.39,21.4,21.01,21.4,194351,4118840,,0.0056,0.022458922,749000000,1562200000,0.0005,,,4.6084,1,,-0.0143,
64,600066.XSHG,600066,郑州客车,XSHG,1997/8/8,21.4,21.4,21.4,21.78,20.98,21.13,466101,9852553,,0.0133,0.022458922,739550000,1542490000,-0.0126,,,4.5503,1,,0.0005,
